num,genre
1,Action comedy
2,Action film
3,Actuality film
4,Adventure film
5,Amateur film
6,American Eccentric Cinema
7,Animated documentary
8,Anthology film
9,Apocalyptic and post-apocalyptic fiction
10,Art film
11,Art horror
12,Arthouse action film
13,Arthouse 
14,Arthouse science fiction film
15,Australian Western
16,B movie
17,Backstage musical
18,Badaga cinema
19,Beach party film
20,Behind-the-scenes
21,Biographical film
22,Black comedy
23,Body horror
24,Bromantic comedy
25,Buddy cop
26,Buddy film
27,Camcorder film
28,Cannibal film
29,Cartoon-like
30,Children's film
31,Cinéma vérité
32,Cinepoetry
33,Comedy drama
34,Comedy film
35,Comedy horror
36,Comedy thriller
37,Science fiction comedy
38,Coming-of-age story
39,Composite film
40,Conspiracy fiction
41,Crime film
42,Cult film
43,Dance film
44,Detective fiction
45,Direct cinema
46,Disaster film
47,Docudrama
48,Docufiction
49,Documentary film
50,Economics film
51,Educational film
52,Epic film
53,European art cinema
54,Eurospy film
55,Experimental film
56,Fantasy comedy
57,Fantasy film
58,Female buddy film
59,Film gris
60,Film noir
61,Folk horror
62,Gangster film
63,German underground horror
64,Gothic film
65,Gothic romance film
66,Grindhouse
67,Heist film
68,Heritage film
69,Historical drama
70,Historical fiction
71,Hood film
72,Horror film
73,Jukebox musical
74,Kaiju
75,Korean melodrama
76,Kung fu film
77,Legal drama
78,Legal thriller
79,Luchador films
80,Mafia comedy film
81,Mafia film
82,Magic realism
83,Martial arts film
84,Maximalist film
85,Medical drama
86,Melodrama
87,Metacinema
88,Midnight movie
89,Minimalist film
90,Mockbuster
91,Mockumentary
92,Modernist film
93,Monster movie
94,Music video
95,Musical film
96,Mystery film
97,Mythopoeia
98,Narco pelicula
99,Narrative film
100,Neo-noir
101,Non-narrative film
102,Parody film
103,Poetry film
104,Political thriller
105,Poliziotteschi
106,Postmodern horror
107,Postmodernist film
108,Prison film
109,Pseudo-documentary
110,Psychedelic film
111,Psychological drama
112,Psychological horror
113,Psychological thriller
114,Pulp noir
115,Reality film
116,Retrospective
117,Road movie
118,Romance film
119,Romantic comedy
120,Romantic fantasy
121,Romantic thriller
122,Samurai cinema
123,Satanic film
124,Satire
125,Science fiction film
126,Screwball comedy
127,Semidocumentary
128,Sharksploitation
129,Silent film
130,Skate video
131,Slapstick
132,Slasher film
133,Slow cinema
134,Social film
135,Social problem film
136,Social thriller
137,Space Western
138,Spaghetti Western
139,Splatter film
140,Sports film
141,Spy film
142,Stoner film
143,Superhero film
144,Surf film
145,Survival film
146,Swashbuckler
147,Sword-and-sandal
148,Teen film
149,Thriller film
150,Training film
151,Travel documentary
152,Vampire film
153,Vigilante film
154,War film
155,Werewolf fiction
156,Western 
157,Wuxia
158,Yakuza film
159,Zombie comedy
160,Zombie film
